id,name,prefecture,city,region,type,destType,hub,hotelArea,hubStation,accessStation,weight,stayAllowed,tags
"kamakura","鎌倉","神奈川県","鎌倉市","関東","destination","city","tokyo-o","kamakura","東京駅","鎌倉駅","1.2","daytrip|1night","寺社|海|歴史"
"atami","熱海","静岡県","熱海市","中部","destination","onsen","tokyo-o","atami","熱海駅","熱海駅","1.2","1night","温泉|海|城|街歩き"
"nikko","日光","栃木県","日光市","関東","destination","onsen","tokyo-o","nikko","宇都宮駅","日光駅","1.2","daytrip|1night","温泉|自然|山|歴史|寺社|滝"
"karuizawa","軽井沢","長野県","軽井沢町","中部","destination","sight","tokyo-o","karuizawa","軽井沢駅","軽井沢駅","1.2","1night","山|自然|滝"
"fujikawaguchiko","富士河口湖","山梨県","山梨富士河口湖","中部","destination","onsen","tokyo-o","fujikawaguchiko","河口湖駅","河口湖駅","1.2","1night","温泉|山|自然|海"
"nara","奈良","奈良県","奈良市","近畿","destination","sight","osaka-t","nara","京都駅","奈良駅","1.2","daytrip|1night","歴史|寺社|滝"
"ishigaki","石垣島","沖縄県","石垣市","沖縄","destination","island","naha","ishigaki","那覇空港","石垣空港","1.5","1night","離島|海|山"
"ise","伊勢","三重県","伊勢市","中部","destination","city","nagoya-t","ise","名古屋駅","伊勢市駅","1.2","daytrip|1night","海|街歩き|寺社"
"beppu","別府","大分県","別府市","九州","destination","onsen","fukuoka-t","beppu","大分駅","別府駅","1.2","1night","温泉|海"
"otaru","小樽","北海道","小樽市","北海道","destination","city","sapporo-t","otaru","新千歳空港","小樽駅","1.2","daytrip|1night","海|歴史|山"
"furano","富良野","北海道","富良野市","北海道","destination","city","asahikawa","furano","旭川駅","富良野駅","1.2","1night","街歩き|自然|山|海"
"matsushima","松島","宮城県","松島町","東北","destination","city","sendai-t","matsushima","仙台駅","松島海岸駅","1.2","daytrip|1night","街歩き|海|寺社|離島"
"miyajima","宮島","広島県","廿日市市","中国","destination","island","hiroshima-t","miyajima","広島駅","宮島口港","1.5","1night","離島|寺社|海|山"
"onomichi","尾道","広島県","尾道市","中国","destination","city","hiroshima-t","onomichi","福山駅","尾道駅","1.2","daytrip|1night","街歩き|海|寺社"
"shodoshima","小豆島","香川県","小豆島町","四国","destination","island","takamatsu","shodoshima","高松駅","池田港","1.5","1night","離島|海"
"mihonoseki","美保関","島根県","松江市","中国","destination","city","matsue","mihonoseki","松江駅","境港駅","1.2","1night","街歩き|海|寺社|離島"
"ryujin-onsen","龍神温泉","和歌山県","田辺市","近畿","destination","city","osaka-t","ryujin-onsen","紀伊田辺駅","紀伊田辺駅","1.2","1night","温泉|山"
"tokashiki-jima","渡嘉敷島","沖縄県","渡嘉敷村","沖縄","destination","island","naha","tokashiki-jima","那覇港","渡嘉敷港","1.5","1night","離島|海"
